name,iata,icao,lat,lon,country,alt
Grodno Hrodna Airport,GNA,UMMG,53.605801,24.053905,Belarus,424
Groningen Airport Eelde,GRQ,EHGG,53.11972,6.579444,Netherlands,17
Groote Eylandt Airport,GTE,YDGE,-13.975,136.460007,Australia,53
Grosseto Airport,GRS,LIRS,42.759739,11.07189,Italy,15
Grozny Airport,GRV,URMG,43.388199,45.699684,Russia,548
Guadalajara International Airport,GDL,MMGL,20.521799,-103.310997,Mexico,5016
Guam Antonio B. Won Pat International Airport,GUM,PGUM,13.48387,144.797104,Guam,297
Guangyuan Panlong Airport,GYS,ZUGU,32.389999,105.693336,China,148
Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,50
Guantanamo Mariana Grajales Airport,GAO,MUGT,20.085409,-75.158302,Cuba,56
Guatemala City La Aurora International Airport,GUA,MGGT,14.58327,-90.527397,Guatemala,4952
Guayaquil International Airport,GYE,SEGU,-2.15741,-79.883499,Ecuador,19
Guayaramerin Airport,GYA,SLGY,-10.8216,-65.345802,Bolivia,557
Guaymas International Airport,GYM,MMGM,27.968981,-110.925003,Mexico,59
Guelmim Airport,GLN,GMAG,29.016666,-10.067778,Morocco,1119
Guernsey Airport,GCI,EGJB,49.434952,-2.60196,United Kingdom,336
Guilin Liangjiang International Airport,KWL,ZGKL,25.2181,110.039101,China,570
Guiyang Longdongbao International Airport,KWE,ZUGY,26.538521,106.800697,China,3736
Gulbarga Kalaburagi Airport,GBI,VOGB,17.307777,76.958054,India,1571
Gulf Shores Jack Edwards Airport,GUF,KJKA,30.290501,-87.671799,United States,17
Gulfport Biloxi International Airport,GPT,KGPT,30.407261,-89.07,United States,28
Gunnison Crested Butte Regional Airport,GUC,KGUC,38.533939,-106.932999,United States,7680
Gunsan Airport,KUV,RKJK,35.983334,126.75,South Korea,29
Gunung Sitoli Binaka Airport,GNS,WIMB,1.166381,97.704681,Indonesia,20
Gurayat Domestic Airport,URY,OEGT,31.41194,37.279461,Saudi Arabia,1672
Gurney Airport,GUR,AYGN,-10.3115,150.334,Papua New Guinea,88
Gurupi Airport,GRP,SWGI,-11.7396,-49.132198,Brazil,1148
Gustavus Airport,GST,PAGS,58.427502,-135.705002,United States,36
Guwahati International Airport,GAU,VEGT,26.106091,91.58593,India,162
Guymon Municipal Airport,GUY,KGUY,36.682777,-101.507774,United States,3123
Guyuan Liupanshan Airport,GYU,ZLGY,36.07,106.209999,China,5577
Gwadar International Airport,GWD,OPGD,25.233299,62.329491,Pakistan,36
Gwalior Airport,GWL,VIGR,26.293329,78.227753,India,617
Gwangju Airport,KWJ,RKJJ,35.126381,126.8088,South Korea,39
Gyor Per Airport,QGY,LHPR,47.624443,17.81361,Hungary,424
Gyumri Shirak Airport,LWN,UDSG,40.75,43.849998,Armenia,5000
Ha'il Regional Airport,HAS,OEHL,27.43791,41.686291,Saudi Arabia,3331
Hachijojima Airport,HAC,RJTH,33.115002,139.785797,Japan,303
Hagerstown Regional Airport,HGR,KHGR,39.700001,-77.720001,United States,703
Hagfors Airport,HFS,ESOH,60.020061,13.5789,Sweden,474
Haifa Airport,HFA,LLHA,32.809441,35.043049,Israel,28
Haikou Meilan International Airport,HAK,ZJHK,19.934851,110.4589,China,75
Hailar Hulunbuir Airport,HLD,ZBLA,49.20499,119.824997,China,2169
Hailey Friedman Memorial Airport,SUN,KSUN,43.5,-114.290001,United States,5320
Haines Airport,HNS,PAHN,59.245834,-135.51889,United States,15
Haiphong Cat Bi International Airport,HPH,VVCI,20.823315,106.727325,Vietnam,6
Hakodate Airport,HKD,RJCH,41.77,140.821899,Japan,151
Half Moon Bay Airport,HAF,KHAF,37.513401,-122.500999,United States,66
Halifax Stanfield International Airport,YHZ,CYHZ,44.880829,-63.508598,Canada,477
Hall Beach Airport,YUX,CYUX,68.776108,-81.243599,Canada,27
Halls Creek Airport,HCQ,YHLC,-18.23,127.660004,Australia,1346
Halmstad Airport,HAD,ESMT,56.69112,12.82021,Sweden,101
Hamar Stafsberg Airport,HMR,ENHA,60.818054,11.068056,Norway,713
Hambantota Mattala Rajapaksa International Airport,HRI,VCRI,6.28,81.120003,Sri Lanka,157
Hamburg Airport,HAM,EDDH,53.630379,9.988228,Germany,53
Hamburg Finkenwerder Airport,XFW,EDHI,53.529999,9.83,Germany,22
Hamedan International Airport,HDM,OIHH,34.867146,48.537319,Iran,5763
Hami Airport,HMI,ZWHM,42.842499,93.669441,China,2703
Hamilton Butler County Regional Airport,HAO,KHAO,39.360001,-84.519997,United States,633
Hamilton International Airport,HLZ,NZHN,-37.866299,175.335205,New Zealand,172
Hamilton Island Great Barrier Reef Airport,HTI,YBHM,-20.358,148.951599,Australia,15
Hamilton John C. Munro International Airport,YHM,CYHM,43.173611,-79.934998,Canada,780
Hammerfest Airport,HFT,ENHF,70.679726,23.668612,Norway,799
Hana Airport,HNM,PHHN,20.79563,-156.014008,United States,78
Hanamaki Airport,HNA,RJSI,39.428612,141.135193,Japan,297
Hancock County Bar Harbor Airport,BHB,KBHB,44.449699,-68.361504,United States,83
Hancock Houghton County Memorial Airport,CMX,KCMX,47.168411,-88.488998,United States,1095
Handan Airport,HDG,ZBHD,36.523888,114.43,China,-1
Hangzhou Xiaoshan International Airport,HGH,ZSHC,30.2295,120.434402,China,23
Hanimaadhoo International Airport,HAQ,VRMH,6.74,73.160004,Maldives,6
Hannover Langenhagen Airport,HAJ,EDDV,52.461048,9.685078,Germany,183
Hanoi Noi Bai International Airport,HAN,VVNB,21.221189,105.807098,Vietnam,39
Hanzhong Chenggu Airport,HZG,ZLHZ,33.063599,107.008003,China,-1
Hao Airport,HOI,NTTO,-18.0748,-140.945007,French Polynesia,10
Harare Robert Gabriel Mugabe International Airport,HRE,FVRG,-17.931801,31.09284,Zimbabwe,4887
Harbin Taiping International Airport,HRB,ZYHB,45.623402,126.250298,China,457
Hargeisa Airport,HGA,HCMH,9.518167,44.088749,Somalia,4423
Harlingen Valley International Airport,HRL,KHRL,26.2285,-97.654297,United States,36
Harrisburg Capital City Airport,HAR,KCXY,40.217129,-76.851402,United States,347
Harrisburg International Airport,MDT,KMDT,40.193489,-76.763397,United States,310
Harrison Boone County Airport,HRO,KHRO,36.26152,-93.154701,United States,1365
Hartford Brainard Airport,HFD,KHFD,41.736721,-72.649399,United States,18
Hassi Messaoud Oued Irara Airport,HME,DAUH,31.67297,6.140444,Algeria,459
Hastings Municipal Airport,HSI,KHSI,40.605556,-98.426941,United States,1961
Hasvik Airport,HAA,ENHK,70.486671,22.13974,Norway,21
Hat Yai International Airport,HDY,VTSS,6.933206,100.392899,Thailand,90
Hattiesburg Bobby L. Chain Municipal Airport,HBG,KHBG,31.264999,-89.252777,United States,151
Hattiesburg Laurel Regional Airport,PIB,KPIB,31.467501,-89.33667,United States,298
Haugesund Karmoy Airport,HAU,ENHD,59.345261,5.208364,Norway,86
Havana Jose Marti International Airport,HAV,MUHA,22.989149,-82.408997,Cuba,210
Havre City County Airport,HVR,KHVR,48.542969,-109.762001,United States,2591
Havre-Saint-Pierre Airport,YGV,CYGV,50.281944,-63.611111,Canada,124
Hawthorne Municipal Airport,HHR,KHHR,33.922993,-118.331543,United States,66
Hay River Merlyn Carter Airport,YHY,CYHY,60.839722,-115.781998,Canada,543
Hayden Yampa Valley Airport,HDN,KHDN,40.481159,-107.217003,United States,6606
Hays Regional Airport,HYS,KHYS,38.846111,-99.27417,United States,1998
Hayward Executive Airport,HWD,KHWD,37.65889,-122.121666,United States,52
Hayward Sawyer County Airport,HYR,KHYR,46.024445,-91.444443,United States,1214
Hefei Xinqiao International Airport,HFE,ZSOF,31.986345,116.970474,China,108
Heho Airport,HEH,VYHH,20.74703,96.792038,Myanmar (Burma),3858
Heide Buesum Airport,HEI,EDXB,54.154999,8.903333,Germany,7
Heihe Airport,HEK,ZYHE,50.171619,127.308884,China,1023
Helena Regional Airport,HLN,KHLN,46.6068,-111.982002,United States,3877
Heligoland Airport,HGL,EDXH,54.185268,7.915833,Germany,8
Helsinki Malmi Airport,HEM,EFHF,60.25388,25.044161,Finland,57
Helsinki Vantaa Airport,HEL,EFHK,60.317219,24.963329,Finland,179
Hemavan Airport,HMV,ESUT,65.806107,15.08277,Sweden,1503
